地区,年份,总人数,高学历人数占比,gdp,高学历人数,低学历人数
西藏,2010,169.0,3.057,512.9,5.16633,163.83367
陕西,2010,2083.0,3.841,9845.2,80.00803,2002.99197
甘肃,2010,1397.0,2.968,3943.7,41.46296,1355.53704
青海,2010,310.0,4.62,1144.2,14.322000000000001,295.678
宁夏,2010,342.0,4.827,1571.7,16.50834,325.49166
新疆,2010,1213.0,4.689,5360.2,56.877570000000006,1156.12243
北京,2011,1090.1,32.379,17188.8,352.96347899999995,737.1365209999999
天津,2011,677.0,13.436,8112.5,90.96172,586.03828
河北,2011,4087.0,4.291,21384.7,175.37317000000002,3911.62683
山西,2011,1817.0,4.484,10894.4,81.47428,1735.52572
内蒙古,2011,1388.0,5.308,9458.1,73.67504,1314.32496
辽宁,2011,2364.88,5.864,16354.9,138.6765632,2226.2034368
吉林,2011,1524.99,5.606,7734.6,85.4909394,1439.4990606000001
黑龙江,2011,2066.0,3.864,9935.0,79.83023999999999,1986.16976
上海,2011,1104.33,16.386,20009.7,180.95551379999998,923.3744862
江苏,2011,4749.23,5.963,48839.2,283.1965849,4466.0334151
浙江,2011,3385.0,6.836,31854.8,231.39860000000002,3153.6014
安徽,2011,4120.9,3.169,16284.9,130.591321,3990.3086789999998
福建,2011,2181.0,7.213,17917.7,157.31553,2023.68447
江西,2011,2378.0,3.158,11584.5,75.09724,2302.90276
山东,2011,5915.0,5.395,39064.9,319.11424999999997,5595.88575
河南,2011,5129.0,3.023,26318.7,155.04967,4973.95033
湖北,2011,3387.0,5.66,19942.5,191.70420000000001,3195.2958
湖南,2011,4005.03,5.116,18915.0,204.89733479999998,3800.1326652000002
广东,2011,6087.0,4.681,53072.8,284.93246999999997,5802.06753
广西,2011,2936.0,2.691,10299.9,79.00776,2856.99224
海南,2011,465.21,4.395,2463.8,20.445979499999996,444.76402049999996
重庆,2011,1587.04,4.66,10161.2,73.956064,1513.083936
四川,2011,4650.0,3.378,21050.9,157.077,4492.923
贵州,2011,1772.0,3.378,5615.6,59.85816,1712.14184
云南,2011,2844.0,3.684,9523.1,104.77296,2739.22704
西藏,2011,171.0,8.639,611.5,14.772689999999997,156.22731
陕西,2011,2087.0,5.987,12175.1,124.94869,1962.05131
甘肃,2011,1379.0,4.494,4816.9,61.97226,1317.02774
